Title,Abstract,DOI,Authors,Year,Document_Type,Journal,Source,DECISION,MOTIVO
The Protein Network in Subcutaneous Fat Biopsies from Patients with AL Amyloidosis: More Than Diagnosis?,"AL amyloidosis is caused by the misfolding of immunoglobulin light chains leading to an impaired function of tissues and organs in which they accumulate. Due to the paucity of -omics profiles from undissected samples, few studies have addressed amyloid-related damage system wide. To fill this gap, we evaluated proteome changes in the abdominal subcutaneous adipose tissue of patients affected by the AL isotypes κ and λ. Through our retrospective analysis based on graph theory, we have herein deduced new insights representing a step forward from the pioneering proteomic investigations previously published by our group. ECM/cytoskeleton, oxidative stress and proteostasis were confirmed as leading processes. In this scenario, some proteins, including glutathione peroxidase 1 (GPX1), tubulins and the TRiC complex, were classified as biologically and topologically relevant. These and other results overlap with those already reported for other amyloidoses, supporting the hypothesis that amyloidogenic proteins could induce similar mechanisms independently of the main fibril precursor and of the target tissues/organs. Of course, further studies based on larger patient cohorts and different tissues/organs will be essential, which would be a key point that would allow for a more robust selection of the main molecular players and a more accurate correlation with clinical aspects.",cells12050699 [pii],"Di Silvestre D, Brambilla F, Lavatelli F, Chirivì M, Canetti D, Bearzi C, Rizzi R, Bijzet J, Hazenberg BPC, Bellotti V, Gillmore JD, Mauri P",,,Cells. 2023 Feb 22;12(5):699. doi: 10.3390/cells12050699.,PubMed,INCLUIDO,Cumple criterios — proteom
Exploring the sequence features determining amyloidosis in human antibody light chains.,"The light chain (AL) amyloidosis is caused by the aggregation of light chain of antibodies into amyloid fibrils. There are plenty of computational resources available for the prediction of short aggregation-prone regions within proteins. However, it is still a challenging task to predict the amyloidogenic nature of the whole protein using sequence/structure information. In the case of antibody light chains, common architecture and known binding sites can provide vital information for the prediction of amyloidogenicity at physiological conditions. Here, in this work, we have compared classical sequence-based, aggregation-related features (such as hydrophobicity, presence of gatekeeper residues, disorderness, β-propensity, etc.) calculated for the CDR, FR or V(L) regions of amyloidogenic and non-amyloidogenic antibody light chains and implemented the insights gained in a machine learning-based webserver called ""V(L)AmY-Pred"" ( https://web.iitm.ac.in/bioinfo2/vlamy-pred/ ). The model shows prediction accuracy of 79.7% (sensitivity: 78.7% and specificity: 79.9%) with a ROC value of 0.88 on a dataset of 1828 variable region sequences of the antibody light chains. This model will be helpful towards improved prognosis for patients that may likely suffer from diseases caused by light chain amyloidosis, understanding origins of aggregation in antibody-based biotherapeutics, large-scale in-silico analysis of antibody sequences generated by next generation sequencing, and finally towards rational engineering of aggregation resistant antibodies.",10.1038/s41598-021-93019-9 [pii],"Rawat P, Prabakaran R, Kumar S, Gromiha MM",,,Sci Rep. 2021 Jul 2;11(1):13785. doi: 10.1038/s41598-021-93019-9.,PubMed,INCLUIDO,Cumple criterios — machine learning
Redefining Cardiac Involvement and Targets of Treatment in Systemic Immunoglobulin AL Amyloidosis.,"IMPORTANCE: Cardiac amyloid infiltration is the key determinant of survival in systemic light-chain (AL) amyloidosis. Current guidelines recommend early switching therapy in patients with a nonoptimal or suboptimal response regardless of the extent of cardiac amyloid infiltration. OBJECTIVE: To assess the differences between serum biomarkers, echocardiography, and cardiovascular magnetic resonance (CMR) with extracellular volume (ECV) mapping in characterizing cardiac amyloid, the independent prognostic role of these approaches, and the role of ECV mapping to guide treatment strategies. DESIGN, SETTING, AND PARTICIPANTS: Consecutive patients newly diagnosed with systemic AL amyloidosis (2015-2021) underwent echocardiography, cardiac biomarkers, and CMR with ECV mapping at diagnosis. Data were analyzed from January to June 2024. MAIN OUTCOMES AND MEASURES: The primary outcomes of the study were all-cause mortality and hematological response as defined according to validated criteria: no response (NR), partial response (PR), very good partial response (VGPR), and complete response (CR). Secondary outcomes were the depth and speed of hematological response and overall survival according to ECV. RESULTS: Of 560 patients with AL amyloidosis, the median (IQR) age was 68 years (59-74 years); 346 patients were male (61.8%) and 214 female (38.2%). Over a median (IQR) 40.5 months 9-58 months), ECV was independently associated with mortality. In the landmark analysis at 1 month, long-term survival was independent of the achieved hematological response in ECV less than 0.30% and ECV of 0.31% to 0.40%, while it was dependent on the depth of the hematological response in ECV greater than 0.40%. In the landmark analysis at 6 months, survival was independent of the achieved hematological response in ECV less than 0.30% and dependent on achieving at least PR in ECV of 0.31% to 0.40%. Survival was dependent on achieving CR in ECV of 0.41% to 0.50% and ECV greater than 0.50%. Achieving a deep hematological response at 1 month was associated with better survival compared with 6 months in patients with ECV greater than 0.40% but not with ECV less than 0.40%. CONCLUSIONS AND RELEVANCE: This study found that ECV mapping, in systemic AL amyloidosis, is an independent predictor of prognosis, can help define the hematological response associated with better long-term outcomes for each patient and potentially inform treatment strategies.",2822691 [pii],"Porcari A, Masi A, Martinez-Naharro A, Razvi Y, Patel R, Ioannou A, Rauf MU, Sinigiani G, Wisniowski B, Filisetti S, Currie-Cathey J, O'Beara S, Kotecha T, Knight D, Moon JC, Sinagra G, Virsinskaite R, Gilbertson J, Venneri L, Petrie A, Lachmann H, Whelan C, Kellman P, Ravichandran S, Cohen O, Mahmood S, Manisty C, Hawkins PN, Gillmore JD, Wechalekar AD, Fontana M",,,JAMA Cardiol. 2024 Nov 1;9(11):982-989. doi: 10.1001/jamacardio.2024.2555.,PubMed,INCLUIDO,Cumple criterios — serum biomarker
Immunoglobulin Light Chain Amyloidosis: Diagnosis and Risk Assessment.,"Immunoglobulin light chain (AL) amyloidosis is a clonal plasma cell disorder with multiple clinical presentations. The diagnosis of AL amyloidosis requires a high index of suspicion, making a delay in diagnosis common, which contributes to the high early mortality seen in this disease. Establishing the diagnosis of AL amyloidosis requires the demonstration of tissue deposition of amyloid fibrils. A bone marrow biopsy and fat pad aspirate performed concurrently have a high sensitivity for the diagnosis of AL amyloidosis and negate the need for organ biopsies in most patients. An accurate diagnosis requires amyloid typing via additional testing, including tissue mass spectrometry. Prognostication for AL amyloidosis is largely driven by the organs impacted. Cardiac involvement represents the single most important prognostic marker, and the existing staging systems are driven by cardiac biomarkers. Apart from organ involvement, plasma cell percentage on the bone marrow biopsy, specific fluorescence in situ hybridization findings, age at diagnosis, and performance status are important prognostic markers. This review elaborates on the diagnostic testing and prognostication for patients with newly diagnosed AL amyloidosis.",10.6004/jnccn.2022.7077 [doi],"Zanwar S, Gertz MA, Muchtar E",,,J Natl Compr Canc Netw. 2023 Jan;21(1):83-90. doi: 10.6004/jnccn.2022.7077.,PubMed,INCLUIDO,Cumple criterios — mass spectrometry
Blood mass spectrometry detects residual disease better than standard techniques in light-chain amyloidosis.,"In patients with immunoglobulin light-chain (AL) amyloidosis, depth of hematologic response correlates with both organ response and overall survival. Our group has demonstrated that screening with a matrix-assisted laser desorption/ionization-time-of-flight (TOF) mass spectrometry (MS) is a quick, sensitive, and accurate means to diagnose and monitor the serum of patients with plasma cell disorders. Microflow liquid chromatography coupled with electrospray ionization and quadrupole TOF MS adds further sensitivity. We identified 33 patients with AL amyloidosis who achieved amyloid complete hematologic response, who also had negative bone marrow by six-color flow cytometry, and who had paired serum samples to test by MS. These samples were subjected to blood MS. Four patients (12%) were found to have residual disease by these techniques. The presence of residual disease by MS was associated with a poorer time to progression (at 50 months 75% versus 13%, p = 0.003). MS of the blood out-performed serum and urine immunofixation, the serum immunoglobulin free light chain, and six-color flow cytometry of the bone marrow in detecting residual disease. Additional studies that include urine MS and next-generation techniques to detect clonal plasma cells in the bone marrow will further elucidate the full potential of this technique.",10.1038/s41408-020-0291-8 [pii],"Dispenzieri A, Arendt B, Dasari S, Kohlhagen M, Kourelis T, Kumar SK, Leung N, Muchtar E, Buadi FK, Warsame R, Kyle RA, Lacy MQ, Dingli D, Kapoor P, Gonsalves WI, Go RS, Hayman SR, Hwa YL, Fonder A, Hobbs M, Jevremovic D, Lust JA, Zeldenrust S, Russell SJ, Rajkumar SV, Gertz MA, Murray D",,,Blood Cancer J. 2020 Feb 25;10(2):20. doi: 10.1038/s41408-020-0291-8.,PubMed,INCLUIDO,Cumple criterios — mass spectrometry
Increasing the accuracy of proteomic typing by decellularisation of amyloid tissue biopsies.,"Diagnosis and treatment of systemic amyloidosis depend on accurate identification of the specific amyloid fibril protein forming the tissue deposits. Confirmation of monoclonal immunoglobulin light chain amyloidosis (AL), requiring cytotoxic chemotherapy, and avoidance of such treatment in non-AL amyloidosis, are particularly important. Proteomic analysis characterises amyloid proteins directly. It complements immunohistochemical staining of amyloid to identify fibril proteins and gene sequencing to identify mutations in the fibril precursors. However, proteomics sometimes detects more than one potentially amyloidogenic protein, especially immunoglobulins and transthyretin which are abundant plasma proteins. Ambiguous results are most challenging in the elderly as both AL and transthyretin (ATTR) amyloidosis are usually present in this group. We have lately described a procedure for tissue decellularisation which retains the structure, integrity and composition of amyloid but removes proteins that are not integrated within the deposits. Here we show that use of this procedure before proteomic analysis eliminates ambiguity and improves diagnostic accuracy. SIGNIFICANCE: Unequivocal identification of the protein causing amyloidosis disease is crucial for correct diagnosis and treatment. As a proof of principle, we selected a number of cardiac and fat tissue biopsies from patients with various types of amyloidosis and show that a classical procedure of decellularisation enhances the specificity of the identification of the culprit protein reducing ambiguity and the risk of misdiagnosis.",S1874-3919(17)30227-0 [pii],"Mangione PP, Mazza G, Gilbertson JA, Rendell NB, Canetti D, Giorgetti S, Frenguelli L, Curti M, Rezk T, Raimondi S, Pepys MB, Hawkins PN, Gillmore JD, Taylor GW, Pinzani M, Bellotti V",,,J Proteomics. 2017 Aug 8;165:113-118. doi: 10.1016/j.jprot.2017.06.016. Epub 2017 Jun 21.,PubMed,INCLUIDO,Cumple criterios — proteom
Differential expression of MAP3K7 and TROPONIN C proteins and related perturbations in renal amyloidosis.,"OBJECTIVES: Renal amyloidosis (RA) is a rare protein misfolding disorder that prompts progressive renal insufficiency. This study aimed to decipher proteomic changes in human sera to understand the pathophysiology and molecular mechanisms underlying the disease development, hence assisting in the diagnosis of RA. METHODS: Serum proteomic analysis was performed using a gel-based approach followed by MALDI-TOF MS. RA patients with age and sex matched healthy volunteers were recruited from Max Super Speciality Hospital, New Delhi, India. RESULTS: Proteome profiles of serum revealed eight differentially expressed proteins namely, Zinc finger protein 624, Protein FAM183A, Calcium-binding mitochondrial carrier protein Scamc-3, V-type proton ATPase 116 kDa subunit A isoforms 2, Protein TXNRD3NB, ATP - dependent RNA helicase, Troponin C and Mitogen-activated protein kinase kinase kinase 7. These proteins were reported first time in RA. The increased levels of MAP3K7 and TROPONIN C were validated by bio-layer interferometry and their diagnostic accuracy was evaluated by ROC curve analysis. The differentially expressed proteins were predominantly associated with vesicular trafficking, transcriptional regulation, metabolic processes, apoptotic process and mitochondrial metabolism. CONCLUSION: The results indicate that these proteomic signatures may be considered as potential molecular targets for RA diagnostics and therapeutics subject to validation on large sample size. Abbreviations: AβP= Amyloid-beta protein, Aβ=Amyloid-beta, AL= Light chain amyloidosis, AA= Amyloid A, ALECT2= LECT2 amyloidosis, APS= Ammonium persulfate CKD= Chronic Kidney Diseases, EBRT= external beam radiation therapy, ESRD= End-Stage Kidney Disease, Glis2= Gli-similar 2, JNK= c-Jun NH 2-terminal kinase, MAPK= Mitogen-Activated Protein Kinase, MM=Multiple Myeloma, PHD= Prolyl hydroxylase, RA = Renal Amyloidosis, SAA= Serum Amyloid A, SD= Standard Deviation, Sepp= Selenoprotein, SCC= Squamous cell carcinoma, SDS= Sodium dodecyl sulfate, TEMED = tetramethyl ethylenediamine, TGF-Beta-1=Transforming growth factor- Beta-1, Trx = Thioredoxin, TrxR= Thioredoxin reductase.",10.1080/14789450.2020.1833722 [doi],"Gupta N, Sahar T, Khullar D, Jain SK, Wajid S",,,Expert Rev Proteomics. 2020 Sep;17(9):685-694. doi: 10.1080/14789450.2020.1833722. Epub 2020 Nov 1.,PubMed,INCLUIDO,Cumple criterios — proteom
Elevation of Plasmin-α2-plasmin Inhibitor Complex Predicts the Diagnosis of Systemic AL Amyloidosis in Patients with Monoclonal Protein.,"Objective The complication of systemic immunoglobulin light chain (AL) amyloidosis in patients with monoclonal immunoglobulin affects the prognosis, but amyloid deposition in tissues is sometimes difficult to detect due to bleeding tendencies and preferential distributions. However, fibrinolysis is known to be exacerbated in patients with systemic AL amyloidosis specifically. We therefore explored new biomarkers for predicting a diagnosis of systemic AL amyloidosis focusing on coagulation and fibrinolysis markers. Methods We reviewed the clinical features and treatment outcomes of patients with serum monoclonal protein, including primary systemic AL amyloidosis and multiple myeloma (MM), treated at our hospital between January 2008 and December 2014. Results Among several biomarkers, only the serum level of plasmin-α2-plasmin inhibitor complex (PIC) in patients with systemic AL amyloidosis (n=26) at the diagnosis was significantly higher than in patients with MM without AL amyloidosis (n=26) (mean±standard deviation, 3.69±2.82 μg/mL vs. 1.23±0.97 μg/mL, p<0.01). The cut-off for predicting a diagnosis of systemic AL amyloidosis in patients with serum monoclonal protein was 1.72 μg/mL with 84.6% sensitivity and 80.8% specificity. Hepatic involvement resulted in a significantly higher PIC level than no involvement in patients with systemic AL amyloidosis. The serum PIC level was also associated with the hematological response of systemic AL amyloidosis. Conclusion PIC is a useful biomarker for the diagnosis and management of patients with systemic AL amyloidosis.",10.2169/internalmedicine.8999-17 [doi],"Ishiguro K, Hayashi T, Yokoyama Y, Aoki Y, Onodera K, Ikeda H, Ishida T, Nakase H",,,Intern Med. 2018 Mar 15;57(6):783-788. doi: 10.2169/internalmedicine.8999-17. Epub 2017 Oct 11.,PubMed,INCLUIDO,Cumple criterios — new biomarker
Spatial resolution of renal amyloid deposits through MALDI-MSI: a combined digital and molecular approach to monoclonal gammopathies.,"AIMS: Identification and characterisation of monoclonal gammopathies of renal significance (MGRS) is critical for therapeutic purposes. Amyloidosis represents one of the most common forms of MGRS, and renal biopsy remains the gold standard for their classification, although mass spectrometry has shown greater sensitivity in this area. METHODS: In the present study, a new in situ proteomic technique, matrix-assisted laser desorption/ionisation mass spectrometry imaging (MALDI-MSI), is investigated as an alternative to conventional laser capture microdissection MS for the characterisation of amyloids. MALDI-MSI was performed on 16 cases (3 lambda light chain amyloidosis (AL), 3 AL kappa, 3 serum amyloid A amyloidosis (SAA), 2 lambda light chain deposition disease (LCDD), 2 challenging amyloid cases and 3 controls). Analysis began with regions of interest labelled by the pathologist, and then automatic segmentation was performed. RESULTS: MALDI-MSI correctly identified and typed cases with known amyloid type (AL kappa, AL lambda and SAA). A 'restricted fingerprint' for amyloid detection composed of apolipoprotein E, serum amyloid protein and apolipoprotein A1 showed the best automatic segmentation performance (area under the curve >0.7). CONCLUSIONS: MALDI-MSI correctly assigned minimal/challenging cases of amyloidosis to the correct type (AL lambda) and identified lambda light chains in LCDD cases, highlighting the promising role of MALDI-MSI for amyloid typing.",jcp-2023-208790 [pii],"Bindi G, Smith A, Oliveira G, Eccher A, Vatrano S, Alberici F, Cazzaniga G, Galimberti S, Capitoli G, Magni F, Pagni F, L'Imperio V",,,J Clin Pathol. 2024 May 17;77(6):402-410. doi: 10.1136/jcp-2023-208790.,PubMed,INCLUIDO,Cumple criterios — proteom
Novel challenges in the management of immunoglobulin light chain amyloidosis: from the bench to the bedside.,"INTRODUCTION: Immunoglobulin light chain (AL) amyloidosis is one of the most frequent systemic amyloidosis in Western countries. It is caused by a B-cell clone producing a misfolded light chain (LC) that deposits in organs. AREAS COVERED: The review examines recent findings on pathophysiology and clinical management of AL amyloidosis. It contains an update on the recent hot topics as novel therapeutic approaches, definition of relapse, and hematologic response assessment. To review literature on AL amyloidosis, a bibliographic search was performed using PubMed. EXPERT OPINION: Due to the proteotoxicity of amyloidogenic LCs, the therapeutic goal is a rapid and profound decrease in their concentration. The standard treatment is a risk-adapted chemotherapy targeting the B-cell clone. Novel, promising drugs, as daratumumab, are currently under evaluation in newly-diagnosed and relapsed/refractory patients. New sensitive techniques, as mass spectrometry approach and bone marrow minimal residual disease assessment, are available to evaluate depth of response. After first-line therapy, increase in LC concentration may precede worsening of organ dysfunction and should be considered carefully. Further clarification of molecular mechanisms of the disease are shedding light on new possible therapeutic targets. Innovative treatment strategies and novel technologies will improve our ability to treat AL amyloidosis, preventing organ deterioration.",10.1080/17474086.2020.1803060 [doi],"Basset M, Nuvolone M, Palladini G, Merlini G",,,Expert Rev Hematol. 2020 Sep;13(9):1003-1015. doi: 10.1080/17474086.2020.1803060. Epub 2020 Aug 11.,PubMed,INCLUIDO,Cumple criterios — mass spectrometry
Benefits of new immunoglobulin-derived biomarkers for the diagnosis and follow-up of patients with dysglobulinemia.,"The diagnostics and follow-up of monoclonal gammopathies such as multiple myeloma require precise analysis of the monoclonal component as well as the other immunoglobulins isotypes, which might be limited by the sensitivity of standard laboratory methods. New serum biomarkers were developed for routine practice in the last decades, such as the free light chain assays and more recently the heavy/light chain assay<strike>s</strike>. Studies have shown that serum free light chain measurement was useful in the identification and follow-up of pauci or nonsecretory myeloma, free light-chain multiple myeloma and AL amyloidosis. It is also an important prognostic marker for monoclonal gammopathy of undetermined significance and AL amyloidosis progression. Hevylite method enables quantitative analysis of heavy/light chain pairs of IgG, IgA and IgM immunoglobulins. This technique has a promising potential to enrich the standard analytic tools as it enables to assess the concentration and ratio of the levels of both tumor and physiological immunoglobulins (heavy/light chain pair suppression), which is not possible with serum protein electrophoresis or global quantitative analysis of immunoglobulin isotypes. This review includes the latest International myeloma working group recommendations and key data presented at the Euromedlab convention in June 2015 Paris regarding serum free light chain and heavy/light chain assays in the biological monitoring of dysglobulinemia.",abc.2016.1180 [pii],"Ermak N, Nguyen-Khoa T, Alyanakian MA",,,Ann Biol Clin (Paris). 2016 Oct 1;74(5):597-605. doi: 10.1684/abc.2016.1180.,PubMed,INCLUIDO,Cumple criterios — serum biomarker
